policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
forecast_seasonal_naive_pure,0.95,"q=0.95, util=1",15789.274785184485,0.09239256678281069,60.0,0.0,14324.612182430228,18805.494859847822,52.23960511033682,1249487,1249444,43,0.9999655858764437
forecast_seasonal_naive_composed,0.95,"q=0.95, util=1",16258.7075903294,5.8072009291521487e-05,60.0,0.0,2.137240240167626,64.6864823376527,54.365737514518,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.99,"q=0.99, util=0.7",27422.614741283174,0.0,60.0,0.0,0.0,14.670453619095497,91.02508710801393,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.99,"q=0.99, util=0.7",27425.940125724414,0.0,60.0,0.0,0.0,4.470955633209087,91.04761904761905,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.99,"q=0.99, util=0.85",22594.95634080782,0.00011614401858304297,60.0,0.0,0.0,61.71655671286862,75.00185830429733,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.99,"q=0.99, util=0.85",22627.942401980465,0.0,60.0,0.0,0.0,17.74981526727788,75.16666666666667,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.99,"q=0.99, util=1",19237.43345768675,0.013182346109175378,60.0,0.0,187.95919956633617,559.6978464596905,63.842624854819974,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_composed,0.99,"q=0.99, util=1",19348.620076007854,0.0,60.0,0.0,0.0,25.164255615556613,64.37526132404182,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.5,"q=0.5, util=0.7",16324.528821431928,0.04123112659698026,60.0,0.0,2663.7099148345524,3899.3689949988475,53.59088269454123,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_composed,0.5,"q=0.5, util=0.7",16480.82851990112,0.00017421602787456446,60.0,0.0,9.938626147603193,68.52176507888362,54.525261324041814,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.5,"q=0.5, util=0.85",13465.462406387627,0.16277584204413473,60.0,0.0,5492.89064726019,7742.516324217315,44.16800232288037,1249487,1249438,49,0.9999607839057149
forecast_seasonal_naive_adjusted_composed,0.5,"q=0.5, util=0.85",14234.072597149983,0.0006387921022067364,60.0,0.0,18.45970497551338,88.7852764390409,48.03995354239257,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.5,"q=0.5, util=1",11478.070151106725,0.8096399535423926,60.0,458.62482263619313,15661.939321133026,16863.184371898766,37.620383275261325,1249487,1247727,1760,0.9985914219195557
forecast_seasonal_naive_adjusted_composed,0.5,"q=0.5, util=1",13515.469665498274,0.0013356562137049942,60.0,0.0,25.24459011257452,90.33746776758198,46.191347270615566,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.7,"q=0.7, util=0.7",17852.455090184387,0.014750290360046457,60.0,0.0,132.36542417203853,1480.7014444516244,58.740243902439026,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_composed,0.7,"q=0.7, util=0.7",17914.467371455572,0.0,60.0,0.0,2.87983777449823,42.673220032593235,59.119396051103365,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.7,"q=0.7, util=0.85",14725.244479224668,0.04105691056910569,60.0,0.0,2469.4365023528753,3669.186372702374,48.42793263646922,1249487,1249448,39,0.9999687871902628
forecast_seasonal_naive_adjusted_composed,0.7,"q=0.7, util=0.85",15075.595292429622,0.00011614401858304297,60.0,0.0,8.162113511726506,65.49227715993766,50.38704994192799,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.7,"q=0.7, util=1",12542.330338675905,0.21207897793263647,60.0,0.03087590602808632,4858.755816249565,6951.913722719808,41.22990708478513,1249487,1249374,113,0.9999095628846079
forecast_seasonal_naive_adjusted_composed,0.7,"q=0.7, util=1",13807.177537600039,0.0003484320557491289,60.0,0.0,14.778749638482784,70.39900782715995,46.95522648083624,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_adjusted_pure,0.8,"q=0.8, util=0.7",18822.253851771904,0.007317073170731708,60.0,0.0,31.612706880859513,964.7462180901493,61.98461091753774,1249487,1249450,37,0.9999703878471725
